
1ULL  1ull 
Decompress decompress
DecompressImpl decompress_impl
DecompressStorage decompress_storage
DedupZeroPage dedup_zero_page
Default default
DefaultPath default_path
DefaultTests_get_set_default_test default_tests_get_set_default_test
Describe describe
DestroyRegion destroy_region
DetachSource detach_source
DetachSourceLocked detach_source_locked
DevicetreeTest_DISABLED_SystemDevicetree devicetree_test_disabled_system_devicetree
DevicetreeTest_EmptyTree devicetree_test_empty_tree
DevicetreeTest_MemoryReservations devicetree_test_memory_reservations
DevicetreeTest_NodesAreVisitedDepthFirst devicetree_test_nodes_are_visited_depth_first
DevicetreeTest_PropertiesAreTranslated devicetree_test_properties_are_translated
DevicetreeTest_SplitNodeName devicetree_test_split_node_name
DevicetreeTest_StringList devicetree_test_string_list
DevicetreeTest_SubtreesArePruned devicetree_test_subtrees_are_pruned
DevicetreeTest_WholeTreeIsPruned devicetree_test_whole_tree_is_pruned
DhtAnnounceAlert dht_announce_alert
DhtBootstrapAlert dht_bootstrap_alert
DhtDirectResponseAlert dht_direct_response_alert
DhtErrorAlert dht_error_alert
DhtGetPeersAlert dht_get_peers_alert
DhtGetPeersReplyAlert dht_get_peers_reply_alert
DhtImmutableItemAlert dht_immutable_item_alert
DhtLiveNodesAlert dht_live_nodes_alert
DhtLogAlert dht_log_alert
DhtLookup dht_lookup
DhtMutableItemAlert dht_mutable_item_alert
DhtOutgoingGetPeersAlert dht_outgoing_get_peers_alert
DhtPktAlert dht_pkt_alert
DhtPutAlert dht_put_alert
DhtSampleInfohashesAlert dht_sample_infohashes_alert
DhtStatsAlert dht_stats_alert
DirectMapMmio direct_map_mmio
DiscardPages discard_pages
DiskInpectorTest_TestChar disk_inpector_test_test_char
DiskInpectorTest_TestCharArray disk_inpector_test_test_char_array
DiskInpectorTest_TestUint32 disk_inpector_test_test_uint32
DiskInpectorTest_TestUint32Array disk_inpector_test_test_uint_32array
DiskInpectorTest_TestUint64 disk_inpector_test_test_uint64
DiskInpectorTest_TestUint64Array disk_inpector_test_test_uint_64array
DiskPrimitiveTest_GetHexString disk_primitive_test_get_hex_string
